Datum und Uhrzeit;Energie | PowerMeter;Energie | Symo GEN24 10.0 Plus;Energie | Wattpilot_33051782;Direkt verbraucht;Energie aus Batterie bezogen;Energie in Batterie gespeichert;Energie ins Netz eingespeist;Energie vom Netz bezogen;PV Produktion;Verbrauch;Energie vom Netz an Wattpilot;Energie von Batterie an Wattpilot;Energie von PV an Wattpilot;Batteriespannung;Batteriestrom;Batterietemperatur minimum;State of Charge;Eingestellte Stromstärke | PowerMeter;Eingestellte Stromstärke | Symo GEN24 10.0 Plus;Eingestellte Stromstärke | Wattpilot_33051782;Energie Wattpilot | PowerMeter;Energie Wattpilot | Symo GEN24 10.0 Plus;Energie Wattpilot | Wattpilot_33051782;Energie Ohmpilot;Temperatur Ohmpilot;Energie ins Netz eingespeist | PowerMeter;Energie ins Netz eingespeist | Symo GEN24 10.0 Plus;Energie ins Netz eingespeist | Wattpilot_33051782;Energie vom Netz bezogen | PowerMeter;Energie vom Netz bezogen | Symo GEN24 10.0 Plus;Energie vom Netz bezogen | Wattpilot_33051782;Unnamed: 32
2024-12-01 00:00:00;;33,11157;;0,0;34,06;0,0;0,0;4,0;0,0;38,06;0,0;0,0;0,0;415,9;-   0,90   ;7,0;25,9;;;14,0;;;0,0;0,0;126,3;2,0;;;4,0;;;
2024-12-01 00:05:00;;35,00571;;0,0;36,09;0,0;0,0;1,0;0,0;37,09;0,0;0,0;0,0;415,9;-   0,60   ;7,0;25,5;;;14,0;;;0,0;0,0;124,3;2,0;;;1,0;;;
2024-12-01 00:10:00;;27,65473;;0,0;27,77;0,0;0,0;3,98;0,0;31,75;0,0;0,0;0,0;415,9;-   0,80   ;7,0;25,3;;;14,0;;;0,0;0,0;142,3;3,0;;;4,0;;;
2024-12-01 00:15:00;;33,19334;;0,0;33,21;0,0;0,0;2,0;0,0;35,21;0,0;0,0;0,0;415,5;-   1,00   ;7,0;24,9;;;14,0;;;0,0;0,0;171,2;3,0;;;2,0;;;
2024-12-01 00:20:00;;103,63955;;0,0;102,75;0,04;0,03;6,0;0,07;108,75;0,0;0,0;0,0;413,5;-   1,10   ;7,0;23,8;;;14,0;;;0,0;0,0;129,6;5,0;;;6,0;;;
2024-12-01 00:25:00;;35,08038;;0,0;34,09;0,0;0,0;3,98;0,0;38,07;0,0;0,0;0,0;414,7;-   0,80   ;7,0;23,4;;;14,0;;;0,0;0,0;89,0;4,0;;;4,0;;;
2024-12-01 00:30:00;;29,59721;;0,0;30,71;0,0;0,0;2,0;0,0;32,71;0,0;0,0;0,0;415,1;-   0,70   ;7,0;23,1;;;14,0;;;0,0;0,0;108,1;2,0;;;2,0;;;
2024-12-01 00:35:00;;30,57692;;0,0;29,62;0,0;0,0;3,99;0,0;33,6;0,0;0,0;0,0;414,7;-   0,70   ;7,0;22,7;;;14,0;;;0,0;0,0;132,3;4,0;;;4,0;;;
2024-12-01 00:40:00;;30,25999;;0,0;31,33;0,0;0,0;2,0;0,0;33,33;0,0;0,0;0,0;414,3;-   1,30   ;7,0;22,4;;;14,0;;;0,0;0,0;116,5;2,0;;;2,0;;;
2024-12-01 00:45:00;;26,3389;;0,0;27,34;0,0;0,0;2,99;0,0;30,34;0,0;0,0;0,0;415,1;-   0,50   ;7,0;22,1;;;14,0;;;0,0;0,0;124,9;2,0;;;3,0;;;
