Zeitstempel;WT;Bezug in kW;Bezug in W;Bezug kW;Bezug in kWh;F_EVS;Bezug Netto in kWh;Bezug Netto in kWh2;F_EVS2;Residuallast in MW;FRL_max_day;FRL_max;FRL_average_day;FRL_average;RLCI_max_Bezug;RLCI_average_Bezug;RLCI_max;RLCI_average;EPEX Day Ahead;Endpreis dT Brutto dyn.;"""Bezugsklasse""";Kosten_Netto;Kosten_Brutto_GES dyn;Wel * Gmin (NETTO);Wel*Gmax (NETTO);Wel * Gmin (BRUTTO);Wel*Gmax (Brutto);RIB_DAY_NETTO_Bezug;RIB_DAY_NETTO_brutto(+-);RIB_DAY_BRUTTO_Netto(+-);vNE_EWS_NETTO;Endpreis dT+vNE Brutto dyn plus;Kosten_vNE_Netto;Kosten vNE Brutto;Kosten_GES_Brutto dyn plus;Wel * Gmin (NETTO)3;Wel*Gmax (NETTO)4;Wel * Gmin (BRUTTO)5;Wel*Gmax (BRUTTO)6;RIB_DAY_NETTO;RIB_DAY_NETTO_netto (+-);RIB_DAY_BRUTTO_netto (+-);WB aktiv (1)
01.07.2025 00:00;Di;0,0200;20,0;-0,0200;-0,0050;-0,00171;-0,0040;-0,0010;-0,00034; 34.702,70 ;0,65151;0,65131;1,0934;1,3047;-0,0011;-0,0022;-0,0002;-0,0004;11,128 ct/kWh;35,05 ct/kWh;B;0,0556 ct;0,1753 ct;0,0212 ct;0,2381 ct;0,1343 ct;0,3924 ct;;;;11,930 ct/kWh;38,723 ct/kWh;0,0597 ct;0,0710 ct;0,1936 ct;0,0239 ct;0,0722 ct;0,1372 ct;0,4107 ct;;;;0
01.07.2025 00:15;Di;0,0320;32,0;-0,0320;-0,0080;-0,00274;-0,0040;-0,0010;-0,00034; 33.801,90 ;;0,63440;;1,2709;-0,0017;-0,0035;-0,0002;-0,0004;11,128 ct/kWh;35,05 ct/kWh;B;0,0890 ct;0,2804 ct;0,0340 ct;0,3810 ct;0,2149 ct;0,6278 ct;;;;11,930 ct/kWh;38,723 ct/kWh;0,0954 ct;0,1136 ct;0,3098 ct;0,0382 ct;0,1154 ct;0,2195 ct;0,6572 ct;;;;0
01.07.2025 00:30;Di;0,0200;20,0;-0,0200;-0,0050;-0,00171;0,0120;0,0030;0,00144; 32.974,10 ;;0,61886;;1,2397;-0,0011;-0,0021;0,0009;0,0018;11,128 ct/kWh;35,05 ct/kWh;B;0,0556 ct;0,1753 ct;0,0212 ct;0,2381 ct;0,1343 ct;0,3924 ct;;;;11,930 ct/kWh;38,723 ct/kWh;0,0597 ct;0,0710 ct;0,1936 ct;0,0239 ct;0,0722 ct;0,1372 ct;0,4107 ct;;;;0
01.07.2025 00:45;Di;0,0200;20,0;-0,0200;-0,0050;-0,00171;0,0000;0,0000;0,00000; 32.428,20 ;;0,60862;;1,2192;-0,0010;-0,0021;0,0000;0,0000;11,128 ct/kWh;35,05 ct/kWh;B;0,0555 ct;0,1749 ct;0,0212 ct;0,2376 ct;0,1341 ct;0,3916 ct;;;;11,930 ct/kWh;38,723 ct/kWh;0,0595 ct;0,0708 ct;0,1932 ct;0,0238 ct;0,0720 ct;0,1369 ct;0,4099 ct;;;;0
01.07.2025 01:00;Di;0,0200;20,0;-0,0200;-0,0050;-0,00172;0,0000;0,0000;0,00000; 32.165,30 ;;0,60368;;1,2093;-0,0010;-0,0021;0,0000;0,0000;9,529 ct/kWh;33,15 ct/kWh;A;0,0477 ct;0,1661 ct;0,0213 ct;0,2386 ct;0,1346 ct;0,3932 ct;;;;4,770 ct/kWh;28,300 ct/kWh;0,0239 ct;0,0284 ct;0,1418 ct;0,0239 ct;0,0723 ct;0,1375 ct;0,4116 ct;;;;0
01.07.2025 01:15;Di;0,0160;16,0;-0,0160;-0,0040;-0,00137;-0,0040;-0,0010;-0,00035; 32.043,20 ;;0,60139;;1,2047;-0,0008;-0,0017;-0,0002;-0,0004;9,529 ct/kWh;33,15 ct/kWh;A;0,0382 ct;0,1329 ct;0,0170 ct;0,1910 ct;0,1077 ct;0,3147 ct;;;;4,770 ct/kWh;28,300 ct/kWh;0,0191 ct;0,0228 ct;0,1135 ct;0,0191 ct;0,0579 ct;0,1100 ct;0,3294 ct;;;;0
01.07.2025 01:30;Di;0,0239;23,9;-0,0239;-0,0060;-0,00205;0,0000;0,0000;0,00000; 31.583,40 ;;0,59276;;1,1874;-0,0012;-0,0024;0,0000;0,0000;9,529 ct/kWh;33,15 ct/kWh;A;0,0570 ct;0,1982 ct;0,0254 ct;0,2848 ct;0,1607 ct;0,4693 ct;;;;4,770 ct/kWh;28,300 ct/kWh;0,0285 ct;0,0339 ct;0,1692 ct;0,0285 ct;0,0863 ct;0,1641 ct;0,4912 ct;;;;0
01.07.2025 01:45;Di;0,0080;8,0;-0,0080;-0,0020;-0,00069;0,0000;0,0000;0,00000; 30.874,90 ;;0,57947;;1,1608;-0,0004;-0,0008;0,0000;0,0000;9,529 ct/kWh;33,15 ct/kWh;A;0,0192 ct;0,0666 ct;0,0085 ct;0,0957 ct;0,0540 ct;0,1577 ct;;;;4,770 ct/kWh;28,300 ct/kWh;0,0096 ct;0,0114 ct;0,0569 ct;0,0096 ct;0,0290 ct;0,0552 ct;0,1651 ct;;;;0
01.07.2025 02:00;Di;0,0240;24,0;-0,0240;-0,0060;-0,00205;-0,0040;-0,0010;-0,00035; 30.351,60 ;;0,56964;;1,1411;-0,0012;-0,0023;-0,0002;-0,0004;8,910 ct/kWh;32,41 ct/kWh;A;0,0535 ct;0,1945 ct;0,0255 ct;0,2857 ct;0,1612 ct;0,4709 ct;;;;4,770 ct/kWh;27,563 ct/kWh;0,0286 ct;0,0341 ct;0,1654 ct;0,0286 ct;0,0866 ct;0,1647 ct;0,4929 ct;;;;0
01.07.2025 02:15;Di;0,0160;16,0;-0,0160;-0,0040;-0,00137;0,0040;0,0010;0,00048; 30.541,30 ;;0,57320;;1,1483;-0,0008;-0,0016;0,0003;0,0006;8,910 ct/kWh;32,41 ct/kWh;A;0,0357 ct;0,1300 ct;0,0170 ct;0,1910 ct;0,1077 ct;0,3147 ct;;;;4,770 ct/kWh;27,563 ct/kWh;0,0191 ct;0,0228 ct;0,1105 ct;0,0191 ct;0,0579 ct;0,1100 ct;0,3294 ct;;;;0
01.07.2025 02:30;Di;0,0441;44,1;-0,0441;-0,0110;-0,00377;-0,0281;-0,0070;-0,00240; 30.766,70 ;;0,57743;;1,1567;-0,0022;-0,0044;-0,0014;-0,0028;8,910 ct/kWh;32,41 ct/kWh;A;0,0982 ct;0,3572 ct;0,0468 ct;0,5248 ct;0,2961 ct;0,8648 ct;;;;4,770 ct/kWh;27,563 ct/kWh;0,0526 ct;0,0626 ct;0,3037 ct;0,0526 ct;0,1590 ct;0,3024 ct;0,9053 ct;;;;0
01.07.2025 02:45;Di;0,0399;39,9;-0,0399;-0,0100;-0,00341;-0,0239;-0,0060;-0,00205; 30.633,50 ;;0,57493;;1,1517;-0,0020;-0,0039;-0,0012;-0,0024;8,910 ct/kWh;32,41 ct/kWh;A;0,0888 ct;0,3232 ct;0,0423 ct;0,4748 ct;0,2679 ct;0,7824 ct;;;;4,770 ct/kWh;27,563 ct/kWh;0,0476 ct;0,0566 ct;0,2748 ct;0,0476 ct;0,1439 ct;0,2736 ct;0,8190 ct;;;;0
01.07.2025 03:00;Di;0,0120;12,0;-0,0120;-0,0030;-0,00103;0,0000;0,0000;0,00000; 31.028,30 ;;0,58234;;1,1666;-0,0006;-0,0012;0,0000;0,0000;8,808 ct/kWh;32,29 ct/kWh;A;0,0265 ct;0,0972 ct;0,0128 ct;0,1433 ct;0,0809 ct;0,2362 ct;;;;4,770 ct/kWh;27,442 ct/kWh;0,0144 ct;0,0171 ct;0,0826 ct;0,0144 ct;0,0434 ct;0,0826 ct;0,2473 ct;;;;0
01.07.2025 03:15;Di;0,0200;20,0;-0,0200;-0,0050;-0,00171;-0,0040;-0,0010;-0,00034; 30.925,00 ;;0,58041;;1,1627;-0,0010;-0,0020;-0,0002;-0,0004;8,808 ct/kWh;32,29 ct/kWh;A;0,0440 ct;0,1611 ct;0,0212 ct;0,2376 ct;0,1341 ct;0,3916 ct;;;;4,770 ct/kWh;27,442 ct/kWh;0,0238 ct;0,0283 ct;0,1369 ct;0,0238 ct;0,0720 ct;0,1369 ct;0,4099 ct;;;;0
01.07.2025 03:30;Di;0,0360;36,0;-0,0360;-0,0090;-0,00308;0,0000;0,0000;0,00000; 30.933,00 ;;0,58056;;1,1630;-0,0018;-0,0036;0,0000;0,0000;8,808 ct/kWh;32,29 ct/kWh;A;0,0793 ct;0,2906 ct;0,0382 ct;0,4286 ct;0,2418 ct;0,7063 ct;;;;4,770 ct/kWh;27,442 ct/kWh;0,0429 ct;0,0511 ct;0,2470 ct;0,0429 ct;0,1299 ct;0,2470 ct;0,7393 ct;;;;0
01.07.2025 03:45;Di;0,0200;20,0;-0,0200;-0,0050;-0,00172;0,0040;0,0010;0,00048; 31.448,50 ;;0,59023;;1,1824;-0,0010;-0,0020;0,0003;0,0006;8,808 ct/kWh;32,29 ct/kWh;A;0,0441 ct;0,1618 ct;0,0213 ct;0,2386 ct;0,1346 ct;0,3932 ct;;;;11,930 ct/kWh;35,962 ct/kWh;0,0598 ct;0,0711 ct;0,1802 ct;0,0239 ct;0,0723 ct;0,1375 ct;0,4116 ct;;;;0
01.07.2025 04:00;Di;0,0200;20,0;-0,0200;-0,0050;-0,00171;0,0000;0,0000;0,00000; 31.827,20 ;;0,59734;;1,1966;-0,0010;-0,0020;0,0000;0,0000;9,001 ct/kWh;32,52 ct/kWh;A;0,0449 ct;0,1623 ct;0,0212 ct;0,2376 ct;0,1341 ct;0,3916 ct;;;;11,930 ct/kWh;36,192 ct/kWh;0,0595 ct;0,0708 ct;0,1806 ct;0,0238 ct;0,0720 ct;0,1369 ct;0,4099 ct;;;;0
01.07.2025 04:15;Di;0,0120;12,0;-0,0120;-0,0030;-0,00103;0,0000;0,0000;0,00000; 31.830,80 ;;0,59741;;1,1967;-0,0006;-0,0012;0,0000;0,0000;9,001 ct/kWh;32,52 ct/kWh;A;0,0271 ct;0,0979 ct;0,0128 ct;0,1433 ct;0,0809 ct;0,2362 ct;;;;11,930 ct/kWh;36,192 ct/kWh;0,0359 ct;0,0427 ct;0,1089 ct;0,0144 ct;0,0434 ct;0,0826 ct;0,2473 ct;;;;0
01.07.2025 04:30;Di;0,0280;28,0;-0,0280;-0,0070;-0,00239;0,0040;0,0010;0,00048; 32.138,30 ;;0,60318;;1,2083;-0,0014;-0,0029;0,0003;0,0006;9,001 ct/kWh;32,52 ct/kWh;A;0,0629 ct;0,2273 ct;0,0297 ct;0,3329 ct;0,1878 ct;0,5486 ct;;;;11,930 ct/kWh;36,192 ct/kWh;0,0834 ct;0,0992 ct;0,2530 ct;0,0333 ct;0,1009 ct;0,1918 ct;0,5742 ct;;;;0
01.07.2025 04:45;Di;0,0160;16,0;-0,0160;-0,0040;-0,00137;-0,0040;-0,0010;-0,00034; 32.508,20 ;;0,61012;;1,2222;-0,0008;-0,0017;-0,0002;-0,0004;9,001 ct/kWh;32,52 ct/kWh;A;0,0360 ct;0,1301 ct;0,0170 ct;0,1905 ct;0,1075 ct;0,3139 ct;;;;11,930 ct/kWh;36,192 ct/kWh;0,0477 ct;0,0568 ct;0,1448 ct;0,0191 ct;0,0577 ct;0,1098 ct;0,3286 ct;;;;0
01.07.2025 05:00;Di;0,0160;16,0;-0,0160;-0,0040;-0,00137;0,0000;0,0000;0,00000; 33.538,90 ;;0,62946;;1,2610;-0,0009;-0,0017;0,0000;0,0000;9,650 ct/kWh;33,30 ct/kWh;B;0,0386 ct;0,1332 ct;0,0170 ct;0,1905 ct;0,1075 ct;0,3139 ct;;;;11,930 ct/kWh;36,964 ct/kWh;0,0477 ct;0,0568 ct;0,1479 ct;0,0191 ct;0,0577 ct;0,1098 ct;0,3286 ct;;;;0
01.07.2025 05:15;Di;0,0200;20,0;-0,0200;-0,0050;-0,00171;0,0040;0,0010;0,00048; 34.173,80 ;;0,64138;;1,2848;-0,0011;-0,0022;0,0003;0,0006;9,650 ct/kWh;33,30 ct/kWh;B;0,0482 ct;0,1661 ct;0,0212 ct;0,2376 ct;0,1341 ct;0,3916 ct;;;;11,930 ct/kWh;36,964 ct/kWh;0,0595 ct;0,0708 ct;0,1845 ct;0,0238 ct;0,0720 ct;0,1369 ct;0,4099 ct;;;;0
01.07.2025 05:30;Di;0,0160;16,0;-0,0160;-0,0040;-0,00137;0,0000;0,0000;0,00000; 34.766,00 ;;0,65249;;1,3071;-0,0009;-0,0018;0,0000;0,0000;9,650 ct/kWh;33,30 ct/kWh;B;0,0387 ct;0,1335 ct;0,0170 ct;0,1910 ct;0,1077 ct;0,3147 ct;;;;11,930 ct/kWh;36,964 ct/kWh;0,0478 ct;0,0569 ct;0,1482 ct;0,0191 ct;0,0579 ct;0,1100 ct;0,3294 ct;;;;0
01.07.2025 05:45;Di;0,0280;28,0;-0,0280;-0,0070;-0,00239;-0,0040;-0,0010;-0,00034; 35.782,90 ;;0,67158;;1,3453;-0,0016;-0,0032;-0,0002;-0,0005;9,650 ct/kWh;33,30 ct/kWh;B;0,0675 ct;0,2327 ct;0,0297 ct;0,3329 ct;0,1878 ct;0,5486 ct;;;;11,930 ct/kWh;36,964 ct/kWh;0,0834 ct;0,0992 ct;0,2584 ct;0,0333 ct;0,1009 ct;0,1918 ct;0,5742 ct;;;;0
01.07.2025 06:00;Di;0,0240;24,0;-0,0240;-0,0060;-0,00206;0,0040;0,0010;0,00048; 37.664,00 ;;0,70688;;1,4161;-0,0015;-0,0029;0,0003;0,0007;11,497 ct/kWh;35,49 ct/kWh;B;0,0691 ct;0,2133 ct;0,0255 ct;0,2862 ct;0,1615 ct;0,4717 ct;;;;11,930 ct/kWh;39,162 ct/kWh;0,0717 ct;0,0853 ct;0,2354 ct;0,0287 ct;0,0867 ct;0,1649 ct;0,4937 ct;;;;0
01.07.2025 06:15;Di;0,0320;32,0;-0,0320;-0,0080;-0,00274;0,0040;0,0010;0,00048; 38.999,20 ;;0,73194;;1,4663;-0,0020;-0,0040;0,0004;0,0007;11,497 ct/kWh;35,49 ct/kWh;B;0,0920 ct;0,2839 ct;0,0340 ct;0,3810 ct;0,2149 ct;0,6278 ct;;;;11,930 ct/kWh;39,162 ct/kWh;0,0954 ct;0,1136 ct;0,3133 ct;0,0382 ct;0,1154 ct;0,2195 ct;0,6572 ct;;;;0
01.07.2025 06:30;Di;0,0240;24,0;-0,0240;-0,0060;-0,00205;0,0000;0,0000;0,00000; 39.706,20 ;;0,74521;;1,4928;-0,0015;-0,0031;0,0000;0,0000;11,497 ct/kWh;35,49 ct/kWh;B;0,0690 ct;0,2130 ct;0,0255 ct;0,2857 ct;0,1612 ct;0,4709 ct;;;;11,930 ct/kWh;39,162 ct/kWh;0,0716 ct;0,0852 ct;0,2350 ct;0,0286 ct;0,0866 ct;0,1647 ct;0,4929 ct;;;;0
01.07.2025 06:45;Di;0,0240;24,0;-0,0240;-0,0060;-0,00205;-0,0040;-0,0010;-0,00034; 39.739,10 ;;0,74583;;1,4941;-0,0015;-0,0031;-0,0003;-0,0005;11,497 ct/kWh;35,49 ct/kWh;B;0,0690 ct;0,2130 ct;0,0255 ct;0,2857 ct;0,1612 ct;0,4709 ct;;;;11,930 ct/kWh;39,162 ct/kWh;0,0716 ct;0,0852 ct;0,2350 ct;0,0286 ct;0,0866 ct;0,1647 ct;0,4929 ct;;;;0
01.07.2025 07:00;Di;0,0120;12,0;-0,0120;-0,0030;-0,00103;-0,0040;-0,0010;-0,00034; 40.093,50 ;;0,75248;;1,5074;-0,0008;-0,0016;-0,0003;-0,0005;12,011 ct/kWh;36,11 ct/kWh;B;0,0362 ct;0,1087 ct;0,0128 ct;0,1433 ct;0,0809 ct;0,2362 ct;;;;11,930 ct/kWh;39,774 ct/kWh;0,0359 ct;0,0427 ct;0,1197 ct;0,0144 ct;0,0434 ct;0,0826 ct;0,2473 ct;;;;0
01.07.2025 07:15;Di;0,0200;20,0;-0,0200;-0,0050;-0,00171;0,0040;0,0010;0,00048; 40.255,50 ;;0,75552;;1,5135;-0,0013;-0,0026;0,0004;0,0007;12,011 ct/kWh;36,11 ct/kWh;B;0,0601 ct;0,1805 ct;0,0212 ct;0,2381 ct;0,1343 ct;0,3924 ct;;;;11,930 ct/kWh;39,774 ct/kWh;0,0597 ct;0,0710 ct;0,1989 ct;0,0239 ct;0,0722 ct;0,1372 ct;0,4107 ct;;;;0
01.07.2025 07:30;Di;0,0240;24,0;-0,0240;-0,0060;-0,00205;-0,0040;-0,0010;-0,00034; 39.991,10 ;;0,75056;;1,5036;-0,0015;-0,0031;-0,0003;-0,0005;12,011 ct/kWh;36,11 ct/kWh;B;0,0719 ct;0,2163 ct;0,0254 ct;0,2852 ct;0,1609 ct;0,4701 ct;;;;11,930 ct/kWh;39,774 ct/kWh;0,0715 ct;0,0850 ct;0,2382 ct;0,0286 ct;0,0864 ct;0,1644 ct;0,4921 ct;;;;0
01.07.2025 07:45;Di;0,0160;16,0;-0,0160;-0,0040;-0,00137;-0,0040;-0,0010;-0,00035; 39.214,90 ;;0,73599;;1,4744;-0,0010;-0,0020;-0,0003;-0,0005;12,011 ct/kWh;36,11 ct/kWh;B;0,0482 ct;0,1448 ct;0,0170 ct;0,1910 ct;0,1077 ct;0,3147 ct;;;;11,930 ct/kWh;39,774 ct/kWh;0,0478 ct;0,0569 ct;0,1595 ct;0,0191 ct;0,0579 ct;0,1100 ct;0,3294 ct;;;;0
01.07.2025 08:00;Di;0,0240;24,0;-0,0240;-0,0060;-0,00205;0,0080;0,0020;0,00097; 38.182,80 ;;0,71662;;1,4356;-0,0015;-0,0029;0,0007;0,0014;11,472 ct/kWh;35,46 ct/kWh;B;0,0687 ct;0,2124 ct;0,0254 ct;0,2852 ct;0,1609 ct;0,4701 ct;;;;11,930 ct/kWh;39,132 ct/kWh;0,0715 ct;0,0850 ct;0,2344 ct;0,0286 ct;0,0864 ct;0,1644 ct;0,4921 ct;;;;0
01.07.2025 08:15;Di;0,0240;24,0;-0,0240;-0,0060;-0,00205;-0,0040;-0,0010;-0,00034; 36.932,50 ;;0,69316;;1,3886;-0,0014;-0,0028;-0,0002;-0,0005;11,472 ct/kWh;35,46 ct/kWh;B;0,0687 ct;0,2124 ct;0,0254 ct;0,2852 ct;0,1609 ct;0,4701 ct;;;;11,930 ct/kWh;39,132 ct/kWh;0,0715 ct;0,0850 ct;0,2344 ct;0,0286 ct;0,0864 ct;0,1644 ct;0,4921 ct;;;;0
01.07.2025 08:30;Di;0,0120;12,0;-0,0120;-0,0030;-0,00103;0,0000;0,0000;0,00000; 34.973,50 ;;0,65639;;1,3149;-0,0007;-0,0014;0,0000;0,0000;11,472 ct/kWh;35,46 ct/kWh;B;0,0344 ct;0,1064 ct;0,0127 ct;0,1429 ct;0,0806 ct;0,2354 ct;;;;11,930 ct/kWh;39,132 ct/kWh;0,0358 ct;0,0426 ct;0,1174 ct;0,0143 ct;0,0433 ct;0,0823 ct;0,2464 ct;;;;0
01.07.2025 08:45;Di;0,0240;24,0;-0,0240;-0,0060;-0,00205;0,0000;0,0000;0,00000; 32.596,70 ;;0,61178;;1,2255;-0,0013;-0,0025;0,0000;0,0000;11,472 ct/kWh;35,46 ct/kWh;B;0,0688 ct;0,2128 ct;0,0255 ct;0,2857 ct;0,1612 ct;0,4709 ct;;;;11,930 ct/kWh;39,132 ct/kWh;0,0716 ct;0,0852 ct;0,2348 ct;0,0286 ct;0,0866 ct;0,1647 ct;0,4929 ct;;;;0
01.07.2025 09:00;Di;0,0320;32,0;-0,0320;-0,0080;-0,00274;0,0040;0,0010;0,00048; 30.031,50 ;;0,56364;;1,1291;-0,0015;-0,0031;0,0003;0,0005;9,119 ct/kWh;32,66 ct/kWh;A;0,0729 ct;0,2610 ct;0,0339 ct;0,3805 ct;0,2147 ct;0,6270 ct;;;;11,930 ct/kWh;36,332 ct/kWh;0,0953 ct;0,1134 ct;0,2903 ct;0,0381 ct;0,1153 ct;0,2193 ct;0,6564 ct;;;;0
01.07.2025 09:15;Di;0,0320;32,0;-0,0320;-0,0080;-0,00274;0,0040;0,0010;0,00048; 27.801,00 ;;0,52177;;1,0452;-0,0014;-0,0029;0,0002;0,0005;9,119 ct/kWh;32,66 ct/kWh;A;0,0730 ct;0,2616 ct;0,0340 ct;0,3814 ct;0,2152 ct;0,6286 ct;;;;11,930 ct/kWh;36,332 ct/kWh;0,0956 ct;0,1137 ct;0,2910 ct;0,0382 ct;0,1156 ct;0,2198 ct;0,6580 ct;;;;0
01.07.2025 09:30;Di;0,0240;24,0;-0,0240;-0,0060;-0,00205;-0,0040;-0,0010;-0,00034; 26.194,00 ;;0,49161;;0,9848;-0,0010;-0,0020;-0,0002;-0,0003;9,119 ct/kWh;32,66 ct/kWh;A;0,0546 ct;0,1957 ct;0,0254 ct;0,2852 ct;0,1609 ct;0,4701 ct;;;;11,930 ct/kWh;36,332 ct/kWh;0,0715 ct;0,0850 ct;0,2176 ct;0,0286 ct;0,0864 ct;0,1644 ct;0,4921 ct;;;;0
01.07.2025 09:45;Di;0,0121;12,1;-0,0121;-0,0030;-0,00103;0,0040;0,0010;0,00048; 23.541,90 ;;0,44184;;0,8851;-0,0005;-0,0009;0,0002;0,0004;9,119 ct/kWh;32,66 ct/kWh;A;0,0275 ct;0,0986 ct;0,0128 ct;0,1438 ct;0,0811 ct;0,2370 ct;;;;11,930 ct/kWh;36,332 ct/kWh;0,0360 ct;0,0429 ct;0,1097 ct;0,0144 ct;0,0436 ct;0,0829 ct;0,2481 ct;;;;0
01.07.2025 10:00;Di;0,0680;68,0;-0,0680;-0,0170;-0,00582;-0,0079;-0,0020;-0,00068; 21.453,70 ;;0,40265;;0,8066;-0,0023;-0,0047;-0,0003;-0,0005;8,431 ct/kWh;31,84 ct/kWh;A;0,1433 ct;0,5414 ct;0,0722 ct;0,8095 ct;0,4567 ct;1,3341 ct;;;;11,930 ct/kWh;35,514 ct/kWh;0,2028 ct;0,2413 ct;0,6037 ct;0,0811 ct;0,2453 ct;0,4665 ct;1,3965 ct;;;;0
01.07.2025 10:15;Di;0,0680;68,0;-0,0680;-0,0170;-0,00582;0,0160;0,0040;0,00192; 19.898,20 ;;0,37345;;0,7481;-0,0022;-0,0044;0,0007;0,0014;8,431 ct/kWh;31,84 ct/kWh;A;0,1433 ct;0,5414 ct;0,0722 ct;0,8095 ct;0,4567 ct;1,3341 ct;;;;11,930 ct/kWh;35,514 ct/kWh;0,2028 ct;0,2413 ct;0,6037 ct;0,0811 ct;0,2453 ct;0,4665 ct;1,3965 ct;;;;0
01.07.2025 10:30;Di;0,0680;68,0;-0,0680;-0,0170;-0,00582;-0,0040;-0,0010;-0,00034; 18.337,80 ;;0,34417;;0,6894;-0,0020;-0,0040;-0,0001;-0,0002;8,431 ct/kWh;31,84 ct/kWh;A;0,1433 ct;0,5414 ct;0,0722 ct;0,8095 ct;0,4567 ct;1,3341 ct;;;;11,930 ct/kWh;35,514 ct/kWh;0,2028 ct;0,2413 ct;0,6037 ct;0,0811 ct;0,2453 ct;0,4665 ct;1,3965 ct;;;;0
01.07.2025 10:45;Di;0,0800;80,0;-0,0800;-0,0200;-0,00685;0,0040;0,0010;0,00048; 17.901,60 ;;0,33598;;0,6731;-0,0023;-0,0046;0,0002;0,0003;8,431 ct/kWh;31,84 ct/kWh;A;0,1685 ct;0,6366 ct;0,0849 ct;0,9519 ct;0,5370 ct;1,5688 ct;;;;11,930 ct/kWh;35,514 ct/kWh;0,2385 ct;0,2838 ct;0,7099 ct;0,0954 ct;0,2885 ct;0,5486 ct;1,6421 ct;;;;0
01.07.2025 11:00;Di;0,0640;64,0;-0,0640;-0,0160;-0,00548;0,0040;0,0010;0,00048; 16.606,40 ;;0,31167;;0,6244;-0,0017;-0,0034;0,0001;0,0003;6,956 ct/kWh;30,09 ct/kWh;A;0,1114 ct;0,4817 ct;0,0680 ct;0,7624 ct;0,4301 ct;1,2564 ct;;;;11,930 ct/kWh;33,758 ct/kWh;0,1910 ct;0,2273 ct;0,5405 ct;0,0764 ct;0,2310 ct;0,4393 ct;1,3152 ct;;;;0
01.07.2025 11:15;Di;0,0320;32,0;-0,0320;-0,0080;-0,00274;-0,0040;-0,0010;-0,00034; 15.801,70 ;;0,29657;;0,5941;-0,0008;-0,0016;-0,0001;-0,0002;6,956 ct/kWh;30,09 ct/kWh;A;0,0556 ct;0,2404 ct;0,0339 ct;0,3805 ct;0,2147 ct;0,6270 ct;;;;14,430 ct/kWh;36,733 ct/kWh;0,1153 ct;0,1372 ct;0,2935 ct;0,0381 ct;0,1153 ct;0,2193 ct;0,6564 ct;;;;0
01.07.2025 11:30;Di;0,0160;16,0;-0,0160;-0,0040;-0,00137;-0,0039;-0,0010;-0,00034; 14.491,30 ;;0,27198;;0,5448;-0,0004;-0,0007;-0,0001;-0,0002;6,956 ct/kWh;30,09 ct/kWh;A;0,0278 ct;0,1204 ct;0,0170 ct;0,1905 ct;0,1075 ct;0,3139 ct;;;;14,430 ct/kWh;36,733 ct/kWh;0,0577 ct;0,0687 ct;0,1469 ct;0,0191 ct;0,0577 ct;0,1098 ct;0,3286 ct;;;;0
01.07.2025 11:45;Di;0,0640;64,0;-0,0640;-0,0160;-0,00548;0,0000;0,0000;0,00000; 13.308,60 ;;0,24978;;0,5004;-0,0014;-0,0027;0,0000;0,0000;6,956 ct/kWh;30,09 ct/kWh;A;0,1112 ct;0,4811 ct;0,0679 ct;0,7614 ct;0,4296 ct;1,2549 ct;;;;14,430 ct/kWh;36,733 ct/kWh;0,2307 ct;0,2746 ct;0,5874 ct;0,0763 ct;0,2307 ct;0,4388 ct;1,3135 ct;;;;0
01.07.2025 12:00;Di;0,0762;76,2;-0,0762;-0,0190;-0,00652;0,0000;0,0000;0,00000; 12.649,10 ;;0,23740;;0,4756;-0,0015;-0,0031;0,0000;0,0000;4,454 ct/kWh;27,11 ct/kWh;A;0,0848 ct;0,5162 ct;0,0809 ct;0,9067 ct;0,5115 ct;1,4942 ct;;;;14,430 ct/kWh;33,756 ct/kWh;0,2747 ct;0,3269 ct;0,6427 ct;0,0908 ct;0,2747 ct;0,5225 ct;1,5641 ct;;;;0
01.07.2025 12:15;Di;0,1681;168,1;-0,1681;-0,0420;-0,01439;0,0000;0,0000;0,00000; 12.064,70 ;;0,22643;;0,4536;-0,0033;-0,0065;0,0000;0,0000;4,454 ct/kWh;27,11 ct/kWh;A;0,1872 ct;1,1395 ct;0,1785 ct;2,0014 ct;1,1292 ct;3,2985 ct;;;;14,430 ct/kWh;33,756 ct/kWh;0,6065 ct;0,7217 ct;1,4188 ct;0,2005 ct;0,6065 ct;1,1534 ct;3,4527 ct;;;;0
01.07.2025 12:30;Di;0,1799;179,9;-0,1799;-0,0450;-0,01540;0,0040;0,0010;0,00049; 11.742,30 ;;0,22038;;0,4415;-0,0034;-0,0068;0,0001;0,0002;4,454 ct/kWh;27,11 ct/kWh;A;0,2003 ct;1,2192 ct;0,1910 ct;2,1414 ct;1,2082 ct;3,5292 ct;;;;14,430 ct/kWh;33,756 ct/kWh;0,6489 ct;0,7722 ct;1,5180 ct;0,2145 ct;0,6489 ct;1,2341 ct;3,6942 ct;;;;0
