Zeitstempel;WT;Bezug in kW;Bezug in W;Bezug kW;Bezug in kWh;F_EVS;Bezug Netto in kWh;Bezug Netto in kWh2;F_EVS2;Residuallast in MW;FRL_max_day;FRL_max;FRL_average_day;FRL_average;RLCI_max_Bezug;RLCI_average_Bezug;RLCI_max;RLCI_average;EPEX Day Ahead;Endpreis dT Brutto dyn.;"""Bezugsklasse""";Kosten_Netto;Kosten_Brutto_GES dyn;Wel * Gmin (NETTO);Wel*Gmax (NETTO);Wel * Gmin (BRUTTO);Wel*Gmax (Brutto);RIB_DAY_NETTO_Bezug;RIB_DAY_NETTO_brutto(+-);RIB_DAY_BRUTTO_Netto(+-);vNE_EWS_NETTO;Endpreis dT+vNE Brutto dyn plus;Kosten_vNE_Netto;Kosten vNE Brutto;Kosten_GES_Brutto dyn plus;Wel * Gmin (NETTO)3;Wel*Gmax (NETTO)4;Wel * Gmin (BRUTTO)5;Wel*Gmax (BRUTTO)6;RIB_DAY_NETTO;RIB_DAY_NETTO_netto (+-);RIB_DAY_BRUTTO_netto (+-);WB aktiv (1)
16.07.2025 09:00;Mi;1,1045;1104,5;-1,1045;-0,2761;-0,09457;-1,0725;-0,2681;-0,09183; 35.763,30 ;;0,67121;;1,3446;-0,0635;-0,1272;-0,0616;-0,1235;10,421 ct/kWh;34,21 ct/kWh;B;2,8776 ct;9,4472 ct;1,8793 ct;3,5632 ct;8,2594 ct;10,2631 ct;;;;11,930 ct/kWh;37,882 ct/kWh;3,2942 ct;3,9201 ct;10,4603 ct;1,3171 ct;3,9846 ct;7,4247 ct;11,2762 ct;;;;0
16.07.2025 09:15;Mi;1,6472;1647,2;-1,6472;-0,4118;-0,14102;-1,6471;-0,4118;-0,14102; 35.669,70 ;;0,66945;;1,3411;-0,0944;-0,1891;-0,0944;-0,1891;10,421 ct/kWh;34,21 ct/kWh;B;4,2913 ct;14,0886 ct;2,8026 ct;5,3137 ct;12,3171 ct;15,3053 ct;;;;11,930 ct/kWh;37,882 ct/kWh;4,9127 ct;5,8461 ct;15,5993 ct;1,9642 ct;5,9421 ct;11,0724 ct;16,8161 ct;;;;0
16.07.2025 09:30;Mi;0,5204;520,4;-0,5204;-0,1301;-0,04456;-0,4565;-0,1141;-0,03909; 34.862,00 ;;0,65430;;1,3107;-0,0292;-0,0584;-0,0256;-0,0512;10,421 ct/kWh;34,21 ct/kWh;B;1,3559 ct;4,4515 ct;0,8855 ct;1,6789 ct;3,8917 ct;4,8359 ct;;;;11,930 ct/kWh;37,882 ct/kWh;1,5522 ct;1,8471 ct;4,9288 ct;0,6206 ct;1,8775 ct;3,4985 ct;5,3132 ct;;;;0
16.07.2025 09:45;Mi;0,4348;434,8;-0,4348;-0,1087;-0,03723;-0,3628;-0,0907;-0,03107; 33.715,50 ;;0,63278;;1,2676;-0,0236;-0,0472;-0,0197;-0,0394;10,421 ct/kWh;34,21 ct/kWh;B;1,1329 ct;3,7193 ct;0,7399 ct;1,4028 ct;3,2516 ct;4,0405 ct;;;;11,930 ct/kWh;37,882 ct/kWh;1,2969 ct;1,5433 ct;4,1181 ct;0,5185 ct;1,5687 ct;2,9231 ct;4,4393 ct;;;;0
16.07.2025 10:00;Mi;0,0120;12,0;-0,0120;-0,0030;-0,00103;0,0240;0,0060;0,00290; 31.700,00 ;;0,59495;;1,1918;-0,0006;-0,0012;0,0017;0,0035;8,980 ct/kWh;32,50 ct/kWh;A;0,0270 ct;0,0978 ct;0,0205 ct;0,0388 ct;0,0900 ct;0,1119 ct;;;;11,930 ct/kWh;36,167 ct/kWh;0,0359 ct;0,0427 ct;0,1089 ct;0,0144 ct;0,0434 ct;0,0809 ct;0,1229 ct;;;;0
16.07.2025 10:15;Mi;0,0720;72,0;-0,0720;-0,0180;-0,00616;-0,0200;-0,0050;-0,00171; 30.894,90 ;;0,57984;;1,1616;-0,0036;-0,0072;-0,0010;-0,0020;8,980 ct/kWh;32,50 ct/kWh;A;0,1616 ct;0,5850 ct;0,1225 ct;0,2323 ct;0,5384 ct;0,6690 ct;;;;11,930 ct/kWh;36,167 ct/kWh;0,2147 ct;0,2555 ct;0,6510 ct;0,0859 ct;0,2597 ct;0,4840 ct;0,7351 ct;;;;0
16.07.2025 10:30;Mi;0,0200;20,0;-0,0200;-0,0050;-0,00171;0,0760;0,0190;0,00916; 30.161,10 ;;0,56607;;1,1340;-0,0010;-0,0019;0,0052;0,0104;8,980 ct/kWh;32,50 ct/kWh;A;0,0448 ct;0,1622 ct;0,0340 ct;0,0644 ct;0,1493 ct;0,1855 ct;;;;11,930 ct/kWh;36,167 ct/kWh;0,0595 ct;0,0708 ct;0,1805 ct;0,0238 ct;0,0720 ct;0,1342 ct;0,2038 ct;;;;0
16.07.2025 10:45;Mi;0,0122;12,2;-0,0122;-0,0030;-0,00104;0,0520;0,0130;0,00626; 28.703,90 ;;0,53872;;1,0792;-0,0006;-0,0011;0,0034;0,0068;8,980 ct/kWh;32,50 ct/kWh;A;0,0273 ct;0,0988 ct;0,0207 ct;0,0392 ct;0,0909 ct;0,1130 ct;;;;11,930 ct/kWh;36,167 ct/kWh;0,0363 ct;0,0432 ct;0,1099 ct;0,0145 ct;0,0439 ct;0,0817 ct;0,1241 ct;;;;0
16.07.2025 11:00;Mi;0,0518;51,8;-0,0518;-0,0130;-0,00444;0,0641;0,0160;0,00772; 26.601,40 ;;0,49926;;1,0001;-0,0022;-0,0044;0,0039;0,0077;8,565 ct/kWh;32,00 ct/kWh;A;0,1110 ct;0,4148 ct;0,0882 ct;0,1672 ct;0,3876 ct;0,4817 ct;;;;11,930 ct/kWh;35,673 ct/kWh;0,1546 ct;0,1840 ct;0,4623 ct;0,0618 ct;0,1870 ct;0,3485 ct;0,5292 ct;;;;0
16.07.2025 11:15;Mi;0,0160;16,0;-0,0160;-0,0040;-0,00137;0,0760;0,0190;0,00915; 25.905,20 ;;0,48619;;0,9740;-0,0007;-0,0013;0,0044;0,0089;8,565 ct/kWh;32,00 ct/kWh;A;0,0343 ct;0,1283 ct;0,0273 ct;0,0517 ct;0,1199 ct;0,1490 ct;;;;14,430 ct/kWh;38,648 ct/kWh;0,0579 ct;0,0689 ct;0,1550 ct;0,0191 ct;0,0579 ct;0,1078 ct;0,1638 ct;;;;0
16.07.2025 11:30;Mi;0,0439;43,9;-0,0439;-0,0110;-0,00376;0,0240;0,0060;0,00290; 25.395,40 ;;0,47663;;0,9548;-0,0018;-0,0036;0,0014;0,0028;8,565 ct/kWh;32,00 ct/kWh;A;0,0940 ct;0,3514 ct;0,0747 ct;0,1417 ct;0,3284 ct;0,4081 ct;;;;14,430 ct/kWh;38,648 ct/kWh;0,1584 ct;0,1885 ct;0,4244 ct;0,0524 ct;0,1584 ct;0,2952 ct;0,4484 ct;;;;0
16.07.2025 11:45;Mi;0,0120;12,0;-0,0120;-0,0030;-0,00103;0,0640;0,0160;0,00771; 24.404,00 ;;0,45802;;0,9175;-0,0005;-0,0009;0,0035;0,0071;8,565 ct/kWh;32,00 ct/kWh;A;0,0257 ct;0,0960 ct;0,0204 ct;0,0387 ct;0,0897 ct;0,1115 ct;;;;14,430 ct/kWh;38,648 ct/kWh;0,0433 ct;0,0515 ct;0,1159 ct;0,0143 ct;0,0433 ct;0,0807 ct;0,1225 ct;;;;0
16.07.2025 12:00;Mi;0,0280;28,0;-0,0280;-0,0070;-0,00240;0,0601;0,0150;0,00724; 23.278,10 ;;0,43689;;0,8752;-0,0010;-0,0021;0,0032;0,0063;8,196 ct/kWh;31,57 ct/kWh;A;0,0575 ct;0,2213 ct;0,0477 ct;0,0905 ct;0,2097 ct;0,2605 ct;;;;14,430 ct/kWh;38,209 ct/kWh;0,1012 ct;0,1204 ct;0,2678 ct;0,0334 ct;0,1012 ct;0,1885 ct;0,2863 ct;;;;0
